pair,trades,wins,losses,win_rate,final_nav_jpy,start_price,end_price,timestamp,WIN,cooldown_tick,tp_pct,sl_pct
btc_jpy,548,141,407,25.73,915755,15104862.0,15060000.0,2025-05-17T14:49:03,20,3,0.4,0.15
btc_jpy,548,141,407,25.73,915755,15104862.0,15060000.0,2025-05-17T14:49:04,20,3,0.6,0.15
btc_jpy,548,141,407,25.73,914953,15104862.0,15060000.0,2025-05-17T14:49:04,20,3,0.4,0.2
btc_jpy,548,141,407,25.73,914953,15104862.0,15060000.0,2025-05-17T14:49:04,20,3,0.6,0.2
btc_jpy,387,98,289,25.32,912063,15104862.0,15060000.0,2025-05-17T14:49:08,40,3,0.4,0.15
btc_jpy,387,98,289,25.32,912063,15104862.0,15060000.0,2025-05-17T14:49:10,40,3,0.6,0.15
btc_jpy,387,98,289,25.32,911113,15104862.0,15060000.0,2025-05-17T14:49:09,40,3,0.4,0.2
btc_jpy,387,98,289,25.32,911113,15104862.0,15060000.0,2025-05-17T14:49:10,40,3,0.6,0.2
btc_jpy,1355,351,1004,25.9,730751,15104862.0,15060000.0,2025-05-17T14:49:05,40,0,0.4,0.15
btc_jpy,1355,351,1004,25.9,730751,15104862.0,15060000.0,2025-05-17T14:49:07,40,0,0.6,0.15
btc_jpy,1355,351,1004,25.9,727646,15104862.0,15060000.0,2025-05-17T14:49:06,40,0,0.4,0.2
btc_jpy,1355,351,1004,25.9,727646,15104862.0,15060000.0,2025-05-17T14:49:08,40,0,0.6,0.2
btc_jpy,2173,547,1626,25.17,693450,15104862.0,15060000.0,2025-05-17T14:49:02,20,0,0.4,0.15
btc_jpy,2173,547,1626,25.17,693450,15104862.0,15060000.0,2025-05-17T14:49:03,20,0,0.6,0.15
btc_jpy,2173,547,1626,25.17,691977,15104862.0,15060000.0,2025-05-17T14:49:02,20,0,0.4,0.2
btc_jpy,2173,547,1626,25.17,691977,15104862.0,15060000.0,2025-05-17T14:49:03,20,0,0.6,0.2
